Site,YEAR,Drainage.model..mm.,Drainage.data..mm.,Drainage.data.INPUT._.mm.
site3,1,0,5.33835387323944,
site3,2,43.5514789671311,33.0692488262911,
site3,3,218.558788738785,244.694835680751,
site3,4,288.921283955215,302.640845070423,
site3,5,15.0637598202603,17.2335913156939,
site3,6,639.40040201933,45.4632981903569,
site5,1,810.534980135479,681.146322378717,
site5,2,442.560628736989,469.370109546166,
site5,3,559.011979758729,622.372670365628,
site5,4,494.992772040971,607.562686726419,
site5,5,358.470656963785,413.377258500498,
site5,6,189.662917857631,607.801251956182,
site6,1,314.782848371637,219.435552710201,
site6,2,430.433093727602,425.295561246266,
site6,3,401.438245044493,484.314358372457,
site6,4,388.587429601209,427.068661971831,
site6,5,302.072462841906,466.645326504481,
site6,6,80.1728335979153,231.49941314554,
site7,1,26.4329662566304,21.3775074690568,
site7,2,31.3707372002535,22.4201344486528,
site7,3,81.592928304176,139.98506188647,
site7,4,22.266208717194,22.9460093896714,
site7,5,142.213528759229,383.915995975855,
site7,5,0,0,
site7,6,138.317180937381,250.768495303482,
site8,1,0.0075957206293551,0,
site8,2,3.67927910360777e-12,0,
site8,3,149.92610586727,74.1392801251956,
site8,4,54.4422099227094,215.302230046948,
site8,5,55.0651031852352,9.38967136150235,
site8,5,34.2351681445956,47.8579812206573,
site8,6,70.1475400240779,297.975352112676,
site9,1,357.137946649931,62.923373574782,
site9,2,322.503358152132,71.4308578745199,
site9,3,454.483430796481,263.797926447574,
site9,4,491.189644861421,246.856060606061,
site9,5,303.334052906956,221.762976851005,
site9,6,239.455196847076,229.294174135723,
site10,1,135.968571460954,129.860221937687,
site10,2,204.960746581415,175.128663394508,
site10,3,375.699488459438,507.766040688576,
site10,4,462.387176071971,270.446009389671,
site10,5,201.261186912768,95.4158664105847,
site10,6,203.863303647446,66.9894366197183,
site11,1,359.485127729357,489.289906103286,180.108901550964
site11,2,695.498319412396,1548.85563380282,695.498319412396
site11,3,894.357708627608,1726.33242637644,1095.40266369562
site11,4,865.562021156112,1497.96557120501,878.193360651274
site11,5,685.677990957428,970.138888888889,644.773890144205
site11,6,450.90950898937,504.841549295775,509.210640638826
site12,3,1304.55959859108,1387.76408450704,1387.76408450704
site12,4,611.163903549621,2849.91197183099,2849.91197183099
site12,5,446.454101491266,1108.50938967136,1108.50938967136
site12,6,521.236406951236,1881.74882629108,1881.74882629108
